"Date de début";"Date de fin";"Organisme";"code zas";"Zas";"code site";"nom site";"type d'implantation";"Polluant";"type d'influence";"Réglementaire";"type d'évaluation";"type de valeur";"valeur";"valeur brute";"unité de mesure";"taux de saisie";"couverture temporelle";"couverture de données";"code qualité";"validité";"Latitude";"Longitude"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO HAUTS DE FRANCE";"FR32ZAG01";"ZAG BLDV";"FR06011";"Denain Villars";"Périurbaine";"O3";"Fond";"Oui";"mesures indicatives";"Moy. journalière";"38.0";"37.6041666667";"µg-m3";"100.0";"100";"100.0";"A";"1";"50.32276";"3.39593"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO HAUTS DE FRANCE";"FR32ZRE01";"ZR HAUTS-DE-FRANCE";"FR06133";"Cartignies";"Rurale près des villes";"O3";"Fond";"Oui";"mesures indicatives";"Moy. journalière";"54.0";"54.1583333333";"µg-m3";"100.0";"100";"100.0";"A";"1";"50.09225";"3.85003"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO AUVERGNE-RHÔNE-ALPES";"FR84ZAG04";"ZAG CLERMONT-FERRAND";"FR07004";"Montferrand";"Urbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"82.0";"82.4916666667";"µg-m3";"100.0";"100";"100.0";"A";"1";"45.79728";"3.113833"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO AUVERGNE-RHÔNE-ALPES";"FR84ZRE02";"ZR AUVERGNE-RHONE-ALPES";"FR07022";"Paray le Fresil";"Rurale régionale";"O3";"Fond";"Oui";"mesures indicatives";"Moy. journalière";"76.0";"75.6875";"µg-m3";"100.0";"100";"100.0";"A";"1";"46.652668";"3.600667"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO AUVERGNE-RHÔNE-ALPES";"FR84ZRE02";"ZR AUVERGNE-RHONE-ALPES";"FR07031";"Rageade";"Rurale régionale";"O3";"Fond";"Oui";"mesures indicatives";"Moy. journalière";"86.0";"85.8208333333";"µg-m3";"100.0";"100";"100.0";"A";"1";"45.10472";"3.277361"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO AUVERGNE-RHÔNE-ALPES";"FR84ZRE02";"ZR AUVERGNE-RHONE-ALPES";"FR07052";"Aurillac-Lagarde";"Urbaine";"O3";"Fond";"Oui";"mesures indicatives";"Moy. journalière";"84.0";"84.0625";"µg-m3";"100.0";"100";"100.0";"A";"1";"44.92008";"2.441082"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO AUVERGNE-RHÔNE-ALPES";"FR84ZRE02";"ZR AUVERGNE-RHONE-ALPES";"FR07054";"Le Puy-Causans";"Urbaine";"O3";"Fond";"Oui";"mesures indicatives";"Moy. journalière";"83.0";"83.4375";"µg-m3";"100.0";"100";"100.0";"A";"1";"45.039001";"3.887001"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO AUVERGNE-RHÔNE-ALPES";"FR84ZRE02";"ZR AUVERGNE-RHONE-ALPES";"FR07056";"Pays du Mezenc";"Rurale régionale";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"84.0";"83.9875";"µg-m3";"100.0";"100";"100.0";"A";"1";"44.98377";"4.226006"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO AUVERGNE-RHÔNE-ALPES";"FR84ZRE02";"ZR AUVERGNE-RHONE-ALPES";"FR07057";"Moulins Centre";"Urbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"78.0";"78.2833333333";"µg-m3";"100.0";"100";"100.0";"A";"1";"46.5619722";"3.34063888888888"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO AUVERGNE-RHÔNE-ALPES";"FR84ZRE02";"ZR AUVERGNE-RHONE-ALPES";"FR07058";"Montluçon";"Urbaine";"O3";"Fond";"Oui";"mesures indicatives";"Moy. journalière";"74.0";"74.2583333333";"µg-m3";"100.0";"100";"100.0";"A";"1";"46.340723";"2.593945"
